lead_id,필드명,값,소스,소스URL,수집일,최종값
A11-001,회사명,도슨티,THE VC,https://thevc.kr/docenty,2026-05-21,Y
A11-001,웹사이트,https://thevc.kr/docenty,THE VC,https://thevc.kr/docenty,2026-05-21,Y
A11-001,설립일,2023-11,뉴스,https://plus.hankyung.com/apps/newsinside.view?aid=202501022905d,2026-05-21,Y
A11-001,대표이름,이일구,뉴스,https://plus.hankyung.com/apps/newsinside.view?aid=202501022905d,2026-05-21,Y
A11-001,대표배경,LINE ML엔지니어 5년+KIST 언어학습 로봇 연구+UT오스틴 연구원+미국 테크 스타트업 창업멤버,뉴스,http://kaistventures.com/kvi-portfolio-news-docenty-ai-interview-eng/,2026-05-21,Y
A11-001,제품설명,LLM 기반 자동화된 고객응대 시스템 (자동분류·라우팅·응답 SaaS),뉴스,https://plus.hankyung.com/apps/newsinside.view?aid=202501022905d,2026-05-21,Y
A11-001,투자단계,시드,THE VC,https://thevc.kr/docenty,2026-05-21,Y
A11-001,투자사,카이스트청년창업투자지주,뉴스,http://kaistventures.com/kvi-portfolio-news-docenty-ai-interview-eng/,2026-05-21,Y
A11-001,정부지원,TIPS 선정,뉴스,https://plus.hankyung.com/apps/newsinside.view?aid=202501022905d,2026-05-21,Y
A11-002,회사명,팀카이,venturesquare,https://www.venturesquare.net/1035871,2026-05-21,Y
A11-002,웹사이트,https://www.teamkai.kr,venturesquare,https://www.venturesquare.net/1035871,2026-05-21,Y
A11-002,설립일,2024,wowtale,https://wowtale.net/2026/01/29/253955/,2026-05-21,Y
A11-002,대표이름,김도아,venturesquare,https://www.venturesquare.net/1035871,2026-05-21,Y
A11-002,대표배경,마이리얼트립 COO 10년·여행업 고객센터 운영 경험,venturesquare,https://www.venturesquare.net/1035871,2026-05-21,Y
A11-002,제품설명,AI 에이전트 기반 고객센터 자동화 (여행/이커머스 특화)·타스크 완료율 60%+,aitimes,https://www.aitimes.com/news/articleView.html?idxno=206097,2026-05-21,Y
A11-002,투자단계,시드,venturesquare,https://www.venturesquare.net/1035871,2026-05-21,Y
A11-002,투자사,스파크랩+뮤렉스파트너스,venturesquare,https://www.venturesquare.net/1035871,2026-05-21,Y
A11-002,정부지원,TIPS 선정,wowtale,https://wowtale.net/2026/01/29/253955/,2026-05-21,Y
A11-002,주요성과,ARR ~1억 (설립 1년차),wowtale,https://wowtale.net/2026/01/29/253955/,2026-05-21,Y
A11-002,LinkedIn_대표,https://www.linkedin.com/in/doah-kim-062594b9/,LinkedIn,,2026-05-21,Y
