lead_id,필드명,값,소스,소스URL,수집일,최종값
A02-001,회사명,로켓툴즈,THE VC,https://thevc.kr/rockettools,2026-05-21,Y
A02-001,웹사이트,https://www.rocket-tools.io,공식사이트,https://www.rocket-tools.io/,2026-05-21,Y
A02-001,설립일,2024-01,THE VC,https://thevc.kr/rockettools,2026-05-21,Y
A02-001,대표이름,김민석,THE VC,https://thevc.kr/rockettools,2026-05-21,Y
A02-001,팀규모,7명,THE VC,https://thevc.kr/rockettools,2026-05-21,Y
A02-001,제품설명,"AI CRM 마케팅 자동화. 자사몰 간편결제/가입 행동 AI 재구성→GA4 전송(로켓브릿지). 메타광고 최적화(로켓애드)",이슈앤비즈,https://www.issuenbiz.com/news/articleView.html?idxno=39679,2026-05-21,Y
A02-001,투자단계,시드,THE VC,https://thevc.kr/rockettools,2026-05-21,Y
A02-001,정부지원,TIPS 5억,이슈앤비즈,https://www.issuenbiz.com/news/articleView.html?idxno=39679,2026-05-21,Y
A02-002,회사명,레비오사에이아이,THE VC,https://thevc.kr/leviosaal,2026-05-21,Y
A02-002,설립일,2025-09,THE VC,https://thevc.kr/leviosaal,2026-05-21,Y
A02-002,대표이름,주하람,THE VC,https://thevc.kr/leviosaal,2026-05-21,Y
A02-002,팀규모,5명,THE VC,https://thevc.kr/leviosaal,2026-05-21,Y
A02-002,제품설명,"온라인 셀러 운영 전 과정 자동화. 상품등록·가격변경·재고·주문·배송·CS 자동화 플랫폼",THE VC,https://thevc.kr/leviosaal,2026-05-21,Y
A02-002,투자단계,시드,THE VC,https://thevc.kr/leviosaal,2026-05-21,Y
A02-002,투자사,서울대기술지주,THE VC,https://thevc.kr/leviosaal,2026-05-21,Y
A02-003,회사명,뭉클랩,장사왕공식,https://www.sellerking.io/,2026-05-21,Y
A02-003,웹사이트(제품),https://www.sellerking.io,공식사이트,https://www.sellerking.io/,2026-05-21,Y
A02-003,대표이름,윤도선,이커머스페어기사,https://v.daum.net/v/20241103100104966,2026-05-21,Y
A02-003,제품설명,"이커머스 셀러 순이익·마진율 분석 '장사왕'. 쿠팡·스마트스토어 정산 데이터 자동 연동·실시간 순이익 확인",장사왕공식,https://www.sellerking.io/,2026-05-21,Y
A02-003,투자사,스파크랩스,이커머스페어기사,https://v.daum.net/v/20241103100104966,2026-05-21,Y
A02-004,회사명,라플라스테크놀로지스,THE VC,https://thevc.kr/laplacetechnologies,2026-05-21,Y
A02-004,웹사이트,https://www.analytics.laplacetec.com,공식사이트,https://www.analytics.laplacetec.com/,2026-05-21,Y
A02-004,설립일,2020-10,venturesquare,https://www.venturesquare.net/835930,2026-05-21,Y
A02-004,대표이름,박병민,venturesquare,https://www.venturesquare.net/835930,2026-05-21,Y
A02-004,제품설명,"AI 기반 이커머스 BI 대시보드. 카페24·스마트스토어·쿠팡 데이터 통합 분석·진단·최적화 자동 수행",매쉬업벤처스,https://www.mashupventures.co/portfolio/laplace,2026-05-21,Y
A02-004,투자단계,프리A,THE VC,https://thevc.kr/laplacetechnologies,2026-05-21,Y
A02-004,투자사,"매쉬업벤처스, 네이버D2SF",매쉬업벤처스,https://www.mashupventures.co/portfolio/laplace,2026-05-21,Y
A02-005,회사명,위시스트,platum,https://platum.kr/archives/250310,2026-05-21,Y
A02-005,웹사이트,https://wessist.ai,공식사이트,https://wessist.ai/,2026-05-21,Y
A02-005,대표이름,안홍준,platum,https://platum.kr/archives/250310,2026-05-21,Y
A02-005,대표배경,"서울대 전기정보공학부 박사과정. AI 전문가. ISMRM 2023 최우수논문상. 공동창업진 전원 경남과학고 동기",머니투데이,https://www.mt.co.kr/future/2025/01/14/2025011414405488665,2026-05-21,Y
A02-005,제품설명,"마케팅 워크플로우 AI 자동화. 반복업무 자동화 어시스턴트 '스니핏'. 광고 통합분석 '애드릭스'",platum,https://platum.kr/archives/250310,2026-05-21,Y
A02-005,투자단계,시드,platum,https://platum.kr/archives/250310,2026-05-21,Y
A02-005,투자사,끌림벤처스,platum,https://platum.kr/archives/250310,2026-05-21,Y
A02-005,정부지원,TIPS,머니투데이,https://www.mt.co.kr/future/2025/01/14/2025011414405488665,2026-05-21,Y
A02-006,회사명,스윕,유니콘팩토리,https://www.unicornfactory.co.kr/article/2024062717210887625,2026-05-21,Y
A02-006,웹사이트,https://www.sweepingoms.com,공식사이트,https://www.sweepingoms.com/,2026-05-21,Y
A02-006,설립일,2024-01,유니콘팩토리,https://www.unicornfactory.co.kr/article/2024062717210887625,2026-05-21,Y
A02-006,대표이름,윤현일,유니콘팩토리,https://www.unicornfactory.co.kr/article/2024062717210887625,2026-05-21,Y
A02-006,팀규모,7명,THE VC,https://thevc.kr/sweep,2026-05-21,Y
A02-006,제품설명,"쇼핑몰 발주·정산업무 자동화 OMS. 다채널 발주 통합·공급사별 분리 자동화·정산 자동화",platum,https://platum.kr/archives/230210,2026-05-21,Y
A02-006,투자단계,시드,platum,https://platum.kr/archives/230210,2026-05-21,Y
A02-006,투자사,"베이스인베스트먼트, 스프링캠프",platum,https://platum.kr/archives/230210,2026-05-21,Y
A02-006,투자금액,10억,platum,https://platum.kr/archives/230210,2026-05-21,Y
A02-006,정부지원,TIPS 5억,platum,https://platum.kr/archives/230210,2026-05-21,Y
A02-007,회사명,씨그로,THE VC,https://thevc.kr/cigro,2026-05-21,Y
A02-007,웹사이트,https://www.cigro.io,공식사이트,https://www.cigro.io/,2026-05-21,Y
A02-007,대표이름,김응진,platum,https://platum.kr/archives/172733,2026-05-21,Y
A02-007,제품설명,"이커머스 채널별 매출·광고비 통합 분석 대시보드. 50개+ 판매/광고채널 연동. 커스텀 대시보드 제공",platum,https://platum.kr/archives/172733,2026-05-21,Y
A02-007,투자단계,시드,wowtale,https://wowtale.net/2022/08/17/44799/,2026-05-21,Y
A02-007,투자사,"스프링캠프, TapAngel, SynergyIB, Schmidt",wowtale,https://wowtale.net/2022/08/17/44799/,2026-05-21,Y
A02-008,회사명,리터놀,platum,https://platum.kr/archives/235767,2026-05-21,Y
A02-008,웹사이트,https://www.returneeds.com,공식사이트,https://www.returneeds.com/,2026-05-21,Y
