lead_id,회사명,웹사이트,발굴소스,발굴일,상태코드,핏점수,핏메모,발송일,응답일,메모
A02-001,로켓툴즈,https://www.rocket-tools.io,THE VC,2026-05-21,00_발굴,5,설립 2024.01·팀 7명·AI CRM/자사몰 마케팅 자동화·TIPS 선정,,,
A02-002,레비오사에이아이,https://thevc.kr/leviosaal,THE VC,2026-05-21,00_발굴,5,설립 2025.09·팀 5명·KAIST 박사 대표·이커머스 셀러 운영 전 과정 자동화·서울대기술지주,,,
A02-003,뭉클랩,https://www.moonklabs.com,THE VC,2026-05-21,00_발굴,5,엔지니어 대표·이커머스 순이익/정산 분석(장사왕)·스파크랩스,,,
A02-004,라플라스테크놀로지스,https://www.analytics.laplacetec.com,매쉬업벤처스,2026-05-21,00_발굴,4,설립 2020.10·카카오 데이터 엔지니어 출신 대표·이커머스 AI BI 대시보드·매쉬업벤처스+네이버D2SF,,,
A02-005,위시스트,https://wessist.ai,platum,2026-05-21,00_발굴,5,서울대 박사 개발자 대표·마케팅 워크플로우 AI 자동화(스니핏)·끌림벤처스 시드+TIPS,,,
A02-006,스윕,https://www.sweepingoms.com,유니콘팩토리,2026-05-21,00_발굴,5,설립 2024.01·쇼핑몰 발주/정산 자동화 OMS·베이스인베스트먼트+스프링캠프 시드 10억+TIPS 5억·팀 7명,,,
A02-007,씨그로,https://www.cigro.io,platum,2026-05-21,00_발굴,3,설립 2021.05·이커머스 채널별 매출/광고비 통합 분석 대시보드·스프링캠프 외 시드,,,
A02-008,리터놀,https://www.returneeds.com,platum,2026-05-21,00_발굴,3,설립 2023.07·AI 기반 반품 물류 솔루션(리터니즈)·시드 10억+TIPS+프리A 30억,,,
A02-009,스킨서울,https://skinseoul.com,wowtale,2026-05-21,00_발굴,2,설립 2024(추정)·AI K뷰티 크로스보더 커머스·재고/유통 AI 자동화·500글로벌+블루프린트 프리시드·대표 마케팅 출신,,,
A02-010,스튜디오랩,https://studiolab.ai,platum,2026-05-21,00_발굴,2,설립 2021·삼성전자 C랩 스핀오프·이커머스 상세페이지 AI 생성(젠시)·개발자 출신 대표·프리A 33억,,,
